       	gene_id 	go_terms
  6819 	g12676  	GO:0003677(InterPro)
  6820 	g706    	GO:0005515(InterPro)
  6823 	g7567   	GO:0000145(InterPro)|GO:0000145(PANTHER)|GO:0006887(PANTHER)|GO:0006887(InterPro)
  6824 	g22545  	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
  6840 	g6626   	GO:0045145(InterPro)
  6849 	g2924   	GO:0004568(InterPro)|GO:0006032(InterPro)|GO:0016998(InterPro)
  6859 	g30806  	GO:0008270(InterPro)|GO:0016491(InterPro)
  6862 	g2672   	GO:0005515(InterPro)
  6868 	g402    	GO:0080043(PANTHER)|GO:0080044(PANTHER)
  6871 	g1143   	GO:0003700(InterPro)
  6884 	g17303  	GO:0015074(InterPro)
  6886 	g9169   	GO:0005634(InterPro)|GO:0006334(InterPro)
  6888 	g8674   	GO:0016887(InterPro)
  6896 	g14433  	GO:0034244(InterPro)|GO:0140566(InterPro)
  6897 	g35033  	GO:0005737(PANTHER)|GO:0010960(InterPro)|GO:0030026(PANTHER)
  6898 	g9641   	GO:0003779(InterPro)|GO:0030036(InterPro)|GO:0045010(InterPro)|GO:0051015(InterPro)
  6899 	g8313   	GO:0003677(InterPro)|GO:0046983(InterPro)
  6911 	g34323  	GO:0003676(InterPro)|GO:0008270(InterPro)
  6918 	g21937  	GO:0009055(InterPro)
  6921 	g30076  	GO:0003676(InterPro)|GO:0008270(InterPro)
  6923 	g31127  	GO:0035529(PANTHER)|GO:0047631(PANTHER)|GO:0051287(PANTHER)
  6925 	g13620  	GO:0003824(InterPro)
  6927 	g17739  	GO:0044183(InterPro)|GO:0110102(InterPro)
  6929 	g14419  	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
  6942 	g2509   	GO:0005737(PANTHER)|GO:0016567(PANTHER)|GO:0061630(PANTHER)
  6943 	g30577  	GO:0005737(PANTHER)|GO:0005768(PANTHER)|GO:0005802(PANTHER)|GO:0008168(InterPro)
  6945 	g20426  	GO:0007165(InterPro)
  6950 	g4312   	GO:0000151(PANTHER)|GO:0031624(PANTHER)|GO:0032182(PANTHER)|GO:0045116(PANTHER)|GO:0097602(PANTHER)
  6951 	g35709  	GO:0004553(PANTHER)
  6954 	g25383  	GO:0016491(InterPro)
  6955 	g26715  	GO:0030246(InterPro)
  6961 	g12713  	GO:0005783(PANTHER)|GO:0030134(PANTHER)
  6962 	g35858  	GO:0003684(PANTHER)|GO:0006303(PANTHER)|GO:0035312(PANTHER)|GO:0036297(PANTHER)
  6966 	g18706  	GO:0003676(InterPro)|GO:0008270(InterPro)
  6970 	g8097   	GO:0048364(InterPro)|GO:0048367(InterPro)
  6972 	g4286   	GO:0005515(InterPro)
  6982 	g14361  	GO:0000731(PANTHER)|GO:0000731(InterPro)|GO:0003887(PANTHER)|GO:0006260(InterPro)|GO:0006261(PANTHER)|GO:0043625(PANTHER)
  6984 	g22935  	GO:0005886(PANTHER)|GO:0022857(PANTHER)|GO:0055085(PANTHER)
  6987 	g10224  	GO:0003872(InterPro)|GO:0005524(InterPro)|GO:0006096(InterPro)
  6996 	g29683  	GO:0006508(InterPro)|GO:0008234(InterPro)
  7002 	g23347  	GO:0003676(InterPro)
  7003 	g8244   	GO:0009507(PANTHER)
  7004 	g32627  	GO:0003676(InterPro)
  7005 	g7998   	GO:0016020(InterPro)|GO:0055085(InterPro)
  7007 	g14155  	GO:0005515(InterPro)
  7011 	g2792   	GO:0003676(InterPro)
  7013 	g2384   	GO:0030145(InterPro)
  7015 	g6153   	GO:0015074(InterPro)
  7017 	g36382  	GO:0000727(PANTHER)|GO:0003677(InterPro)|GO:0003697(PANTHER)|GO:0005524(InterPro)|GO:0005634(PANTHER)|GO:0006270(PANTHER)|GO:0017116(PANTHER)|GO:0042555(PANTHER)|GO:0043138(PANTHER)
  7032 	g4876   	GO:0005515(InterPro)
  7038 	g30014  	GO:0005681(PANTHER)|GO:0005737(PANTHER)|GO:0045292(PANTHER)
  7040 	g5750   	GO:0000977(PANTHER)|GO:0003682(PANTHER)|GO:0005634(PANTHER)|GO:0042393(PANTHER)|GO:0045944(PANTHER)
  7042 	g12433  	GO:0006979(InterPro)|GO:0016671(InterPro)|GO:0030091(InterPro)
  7046 	g32409  	GO:0007030(PANTHER)|GO:0012507(PANTHER)|GO:0070971(PANTHER)|GO:0070973(PANTHER)
  7047 	g34054  	GO:0003676(InterPro)|GO:0008270(InterPro)
  7053 	g8486   	GO:0002098(InterPro)|GO:0002098(PANTHER)|GO:0005737(PANTHER)|GO:0008023(PANTHER)|GO:0033588(InterPro)|GO:0033588(PANTHER)
  7055 	g14643  	GO:0000166(InterPro)|GO:0004813(InterPro)|GO:0005524(InterPro)|GO:0006419(InterPro)
  7070 	g8135   	GO:0043531(InterPro)
  7071 	g8943   	GO:0005747(PANTHER)|GO:0009507(PANTHER)
  7072 	g5902   	GO:0003677(InterPro)|GO:0006355(InterPro)
  7076 	g268    	GO:0003700(InterPro)|GO:0006355(InterPro)|GO:0043565(InterPro)
  7087 	g4452   	GO:0003677(InterPro)
  7091 	g9074   	GO:0006508(InterPro)|GO:0008234(InterPro)
  7097 	g33042  	GO:0005515(InterPro)
  7099 	g2970   	GO:0004499(InterPro)|GO:0050660(InterPro)|GO:0050661(InterPro)
  7100 	g14229  	GO:0005515(InterPro)
  7107 	g28210  	GO:0003677(InterPro)|GO:0006355(InterPro)
  7111 	g10398  	GO:0003677(InterPro)|GO:0006355(InterPro)
  7116 	g10510  	GO:0005515(InterPro)
  7140 	g30741  	GO:0003723(InterPro)|GO:0009451(InterPro)
  7146 	g2919   	GO:0003677(InterPro)|GO:0006355(InterPro)
  7150 	g13709  	GO:0005096(InterPro)
  7155 	g26248  	GO:0005509(InterPro)
  7158 	g31611  	GO:0005351(InterPro)
  7172 	g12258  	GO:0004568(InterPro)|GO:0005975(InterPro)
  7186 	g32325  	GO:0000938(InterPro)|GO:0000938(PANTHER)|GO:0042147(PANTHER)|GO:0042147(InterPro)
  7187 	g8617   	GO:0004506(PANTHER)|GO:0004506(InterPro)|GO:0005783(PANTHER)|GO:0016126(InterPro)|GO:0016126(PANTHER)
  7188 	g22419  	GO:0000145(InterPro)|GO:0000145(PANTHER)|GO:0006887(PANTHER)|GO:0006887(InterPro)
  7190 	g36708  	GO:0006952(InterPro)|GO:0052689(InterPro)
  7191 	g10722  	GO:0016567(InterPro)|GO:0016740(InterPro)
  7192 	g12767  	GO:0005384(InterPro)|GO:0030026(InterPro)
  7195 	g14459  	GO:0004672(InterPro)|GO:0006468(InterPro)
  7199 	g33333  	GO:0006508(InterPro)|GO:0008236(InterPro)
  7203 	g12850  	GO:0003700(InterPro)|GO:0006355(InterPro)|GO:0043565(InterPro)
  7209 	g11323  	GO:0005515(InterPro)
  7215 	g14934  	GO:0003700(InterPro)|GO:0006355(InterPro)
  7229 	g15684  	GO:0005634(PANTHER)|GO:0050832(InterPro)
  7230 	g8415   	GO:0003676(InterPro)|GO:0008270(InterPro)
  7231 	g20054  	GO:0004672(InterPro)|GO:0006468(InterPro)
  7238 	g35715  	GO:0008270(InterPro)
  7242 	g36007  	GO:0004176(InterPro)|GO:0004222(InterPro)|GO:0016020(InterPro)
  7251 	g6783   	GO:0005768(PANTHER)|GO:0007049(PANTHER)|GO:0009705(PANTHER)|GO:0016567(PANTHER)|GO:0061630(PANTHER)
  7252 	g12984  	GO:0000325(PANTHER)|GO:0006511(PANTHER)|GO:0016567(PANTHER)|GO:0061630(PANTHER)
  7253 	g5779   	GO:0006950(PANTHER)|GO:0010200(PANTHER)
  7254 	g3382   	GO:0030247(InterPro)
  7255 	g31330  	GO:0004664(InterPro)|GO:0009094(InterPro)
  7260 	g33243  	GO:0004497(PANTHER)|GO:0016125(PANTHER)|GO:0016491(PANTHER)
  7263 	g16261  	GO:0004553(InterPro)|GO:0005975(InterPro)
  7266 	g27521  	GO:0003676(InterPro)
  7269 	g28445  	GO:0005515(InterPro)
  7285 	g29842  	GO:0005737(PANTHER)|GO:0016791(PANTHER)
  7287 	g33176  	GO:0016020(PANTHER)
  7288 	g30807  	GO:0005515(InterPro)
  7307 	g31568  	GO:0005515(InterPro)
  7315 	g10950  	GO:0009536(PANTHER)
  7316 	g16374  	GO:0005886(PANTHER)
  7317 	g27574  	GO:0015074(InterPro)
  7319 	g36837  	GO:0005509(InterPro)
  7332 	g1144   	GO:0005739(PANTHER)|GO:0035243(PANTHER)
  7333 	g23866  	GO:0016020(PANTHER)
  7334 	g33396  	GO:0003676(InterPro)|GO:0008270(InterPro)
  7335 	g2266   	GO:0005515(InterPro)
  7338 	g28280  	GO:0003676(InterPro)
  7339 	g1643   	GO:0000166(InterPro)|GO:0004812(InterPro)|GO:0005524(InterPro)|GO:0006418(InterPro)
  7349 	g29906  	GO:0016788(InterPro)
  7350 	g30280  	GO:0003723(InterPro)
  7352 	g24434  	GO:0015211(InterPro)|GO:0016020(InterPro)
  7353 	g30746  	GO:0045927(InterPro)
  7355 	g31809  	GO:0005515(InterPro)
  7359 	g31214  	GO:0008194(InterPro)
  7362 	g23478  	GO:0007165(InterPro)
  7370 	g25242  	GO:0046983(InterPro)
  7376 	g2404   	GO:0016787(InterPro)
  7379 	g22445  	GO:0005524(InterPro)|GO:0016887(InterPro)
  7387 	g18377  	GO:0000009(InterPro)|GO:0000030(PANTHER)|GO:0004376(InterPro)|GO:0005789(PANTHER)|GO:0006506(PANTHER)|GO:0006506(InterPro)|GO:0031501(PANTHER)
  7389 	g4413   	GO:0010020(PANTHER)
  7390 	g25821  	GO:0004842(PANTHER)
  7391 	g35383  	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
  7408 	g4416   	GO:0005886(PANTHER)|GO:0009055(InterPro)
  7411 	g9595   	GO:0003697(InterPro)|GO:0010521(PANTHER)|GO:0032211(PANTHER)|GO:0042162(PANTHER)|GO:1990879(InterPro)|GO:1990879(PANTHER)
  7413 	g11310  	GO:0003676(InterPro)
  7414 	g16061  	GO:0003677(InterPro)|GO:0004518(InterPro)
  7417 	g11152  	GO:0008270(InterPro)
  7420 	g34373  	GO:0080143(InterPro)
  7421 	g2392   	GO:0003677(InterPro)|GO:0005524(InterPro)|GO:0006260(InterPro)
  7436 	g6655   	GO:0004601(InterPro)|GO:0006979(InterPro)|GO:0020037(InterPro)
  7448 	g11575  	GO:0016020(InterPro)|GO:0022857(InterPro)|GO:0055085(InterPro)
  7451 	g24348  	GO:0008963(InterPro)|GO:0016020(InterPro)
  7455 	g8816   	GO:0004722(InterPro)|GO:0006470(PANTHER)|GO:0006470(InterPro)
  7456 	g10204  	GO:0030599(PANTHER)|GO:0045490(PANTHER)|GO:0052689(PANTHER)
  7458 	g4825   	GO:0005515(InterPro)
  7459 	g10881  	GO:0016020(InterPro)|GO:0016192(InterPro)
  7463 	g11791  	GO:0005634(InterPro)|GO:0006364(InterPro)|GO:0008168(InterPro)
  7468 	g1066   	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
  7474 	g27774  	GO:0046983(InterPro)
  7480 	g984    	GO:0080043(PANTHER)|GO:0080044(PANTHER)
  7481 	g34076  	GO:0005524(InterPro)
  7489 	g34510  	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
  7495 	g5449   	GO:0003876(InterPro)|GO:0032264(InterPro)
  7500 	g15862  	GO:0003677(InterPro)|GO:0003910(InterPro)|GO:0006281(InterPro)|GO:0006310(InterPro)
  7510 	g36734  	GO:0004371(PANTHER)|GO:0005829(PANTHER)|GO:0019563(PANTHER)
  7513 	g19844  	GO:0004722(InterPro)|GO:0006470(PANTHER)|GO:0006470(InterPro)
  7514 	g25250  	GO:0015743(InterPro)
  7516 	g35823  	GO:0005778(InterPro)|GO:0005778(PANTHER)|GO:0007031(InterPro)|GO:0008270(InterPro)|GO:0016558(InterPro)|GO:0016558(PANTHER)
  7517 	g2394   	GO:0008234(InterPro)
  7523 	g23755  	GO:0005515(InterPro)
  7528 	g2175   	GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0031418(InterPro)
  7530 	g15257  	GO:0003676(InterPro)|GO:0004386(InterPro)|GO:0005524(InterPro)|GO:0006139(InterPro)|GO:0016818(InterPro)
  7537 	g23769  	-
  7538 	g29920  	GO:0004252(InterPro)|GO:0006508(InterPro)
  7539 	g33871  	GO:0005829(PANTHER)|GO:0009903(PANTHER)|GO:0009904(PANTHER)
  7540 	g36387  	GO:0000151(PANTHER)|GO:0031624(PANTHER)|GO:0032182(PANTHER)|GO:0045116(PANTHER)|GO:0097602(PANTHER)
  7541 	g4265   	GO:0005525(InterPro)
  7543 	g13546  	GO:0005509(InterPro)
  7546 	g6086   	GO:0003723(InterPro)
  7550 	g16899  	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
  7556 	g16912  	GO:0004842(InterPro)|GO:0016567(InterPro)
  7572 	g30880  	GO:0046872(InterPro)
  7575 	g36847  	GO:0003723(InterPro)|GO:0009451(InterPro)
  7586 	g19710  	GO:0030247(InterPro)
  7587 	g19709  	GO:0030247(InterPro)
  7588 	g22211  	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
  7592 	g8766   	GO:0004857(InterPro)
  7596 	g483    	GO:0003723(InterPro)|GO:0032574(InterPro)
  7599 	g5031   	GO:0005351(PANTHER)|GO:0008643(PANTHER)|GO:0016020(PANTHER)
  7609 	g10944  	GO:0004499(InterPro)|GO:0050660(InterPro)|GO:0050661(InterPro)
  7611 	g11673  	GO:0004672(PANTHER)|GO:0006468(PANTHER)|GO:0007165(PANTHER)
  7617 	g13636  	GO:0005737(PANTHER)
  7618 	g13241  	GO:0003899(InterPro)|GO:0006351(InterPro)
  7622 	g30382  	GO:0006629(InterPro)
  7643 	g15842  	GO:0005789(PANTHER)|GO:0006486(InterPro)|GO:0006506(PANTHER)|GO:0033185(PANTHER)
  7645 	g31559  	GO:0005542(InterPro)|GO:0016740(InterPro)
  7654 	g19236  	GO:0015098(InterPro)|GO:0015689(InterPro)
  7657 	g3369   	GO:0016787(InterPro)
  7658 	g7479   	GO:0006952(InterPro)
  7661 	g28239  	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
  7667 	g5016   	GO:0016301(PANTHER)|GO:0016310(PANTHER)
  7674 	g34782  	GO:0003872(InterPro)|GO:0006096(InterPro)
  7681 	g7128   	GO:0030246(InterPro)
  7683 	g36484  	GO:0004185(PANTHER)|GO:0004185(InterPro)|GO:0005773(PANTHER)|GO:0006508(InterPro)|GO:0009742(PANTHER)
  7685 	g6039   	GO:0015267(InterPro)|GO:0016020(InterPro)|GO:0055085(InterPro)
  7695 	g19067  	GO:0005515(InterPro)
  7703 	g10556  	GO:0004765(PANTHER)|GO:0005829(PANTHER)|GO:0009507(PANTHER)
  7704 	g17350  	GO:0004553(InterPro)|GO:0005975(InterPro)
  7707 	g35262  	GO:0015276(InterPro)|GO:0016020(InterPro)
  7710 	g32787  	GO:0016491(PANTHER)
  7712 	g29916  	GO:0016788(InterPro)
  7713 	g4047   	GO:0008836(PANTHER)|GO:0009089(PANTHER)|GO:0009507(PANTHER)
  7715 	g12785  	GO:0003723(InterPro)
  7723 	g34775  	GO:0003724(InterPro)
  7725 	g11377  	GO:0003700(InterPro)
  7726 	g9178   	GO:0050660(InterPro)
  7734 	g18124  	GO:0005634(PANTHER)|GO:0005634(InterPro)|GO:0006281(PANTHER)|GO:0006281(InterPro)|GO:0030915(InterPro)|GO:0030915(PANTHER)
  7735 	g36018  	GO:0003700(InterPro)|GO:0006355(InterPro)|GO:0043565(InterPro)
  7742 	g11181  	GO:0009507(PANTHER)
  7743 	g16962  	GO:0000166(InterPro)
  7753 	g30175  	GO:0071949(InterPro)
  7754 	g11620  	GO:0005515(InterPro)
  7757 	g13224  	GO:0003700(InterPro)
  7758 	g29120  	GO:0005515(InterPro)
  7761 	g5704   	GO:0016567(PANTHER)
  7762 	g15390  	GO:0005743(InterPro)|GO:0030003(PANTHER)
  7763 	g31140  	GO:0004345(InterPro)|GO:0006006(InterPro)|GO:0050661(InterPro)
  7774 	g31814  	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
  7776 	g8327   	GO:0043531(InterPro)
  7777 	g13576  	GO:0000272(InterPro)|GO:0016161(InterPro)
  7787 	g20377  	GO:0016747(PANTHER)
  7788 	g8266   	GO:0005634(PANTHER)|GO:0007131(PANTHER)|GO:0015616(PANTHER)|GO:0045003(PANTHER)
  7790 	g26949  	GO:0005634(PANTHER)|GO:0005737(PANTHER)|GO:0008440(PANTHER)|GO:0016301(InterPro)|GO:0016301(PANTHER)|GO:0032958(InterPro)|GO:0032958(PANTHER)|GO:0051765(PANTHER)
  7792 	g3475   	GO:0005515(InterPro)
  7794 	g32854  	GO:0005515(InterPro)
  7795 	g20035  	GO:0005515(InterPro)
  7803 	g4575   	GO:0004672(InterPro)|GO:0006468(InterPro)
  7807 	g8151   	GO:0004601(InterPro)|GO:0006979(InterPro)|GO:0020037(InterPro)
  7826 	g10157  	GO:0015144(InterPro)
  7838 	g20171  	GO:0003824(InterPro)
  7841 	g12755  	GO:0003924(PANTHER)|GO:0005737(PANTHER)|GO:0005777(PANTHER)|GO:0005874(PANTHER)|GO:0008017(PANTHER)|GO:0016020(PANTHER)|GO:0016559(PANTHER)
  7845 	g15417  	GO:0000160(InterPro)
  7850 	g14894  	GO:0006885(PANTHER)|GO:0012505(PANTHER)|GO:0098662(PANTHER)
  7852 	g11143  	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
  7856 	g6641   	GO:0006281(InterPro)|GO:0017108(InterPro)|GO:0033557(InterPro)
  7858 	g3420   	GO:0016787(InterPro)
  7859 	g22220  	GO:0003676(InterPro)|GO:0008270(InterPro)
  7860 	g35049  	GO:0005515(InterPro)
  7864 	g35039  	GO:0004617(PANTHER)
  7865 	g23854  	GO:0003677(InterPro)
  7867 	g21545  	GO:0000786(InterPro)|GO:0003677(InterPro)|GO:0030527(InterPro)
  7878 	g22242  	GO:0007165(InterPro)
  7881 	g5556   	GO:0080043(PANTHER)|GO:0080044(PANTHER)
  7884 	g34728  	GO:0004518(InterPro)|GO:0034477(InterPro)
  7887 	g28475  	GO:0016747(InterPro)
  7889 	g33261  	GO:0000462(PANTHER)|GO:0005730(PANTHER)|GO:0030686(PANTHER)
  7890 	g12204  	GO:0005375(PANTHER)|GO:0005375(InterPro)|GO:0005886(PANTHER)|GO:0016020(InterPro)|GO:0035434(InterPro)
  7892 	g34042  	GO:0006520(InterPro)|GO:0016597(InterPro)|GO:0016743(InterPro)
  7909 	g6382   	GO:0034605(PANTHER)
  7911 	g10382  	GO:0046982(InterPro)
  7915 	g26144  	GO:0042026(InterPro)|GO:0140662(InterPro)
  7925 	g30379  	GO:0005737(PANTHER)
  7932 	g15044  	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
  7934 	g26557  	GO:0005515(InterPro)
  7946 	g32596  	GO:0003676(InterPro)|GO:0008270(InterPro)
  7948 	g8782   	GO:0005634(PANTHER)
  7949 	g17286  	GO:0005515(InterPro)
  7956 	g631    	GO:0003723(PANTHER)|GO:0005634(PANTHER)
  7960 	g33772  	GO:0005739(PANTHER)|GO:0006457(PANTHER)|GO:0030150(PANTHER)|GO:0050821(PANTHER)|GO:0051087(PANTHER)
  7963 	g26284  	GO:0005515(InterPro)
  7968 	g1128   	GO:0006355(InterPro)
  7973 	g8820   	GO:0005576(InterPro)
  7985 	g5341   	GO:0004601(InterPro)|GO:0042744(InterPro)
  8005 	g6313   	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
  8020 	g19558  	GO:0003676(InterPro)|GO:0005524(InterPro)
  8022 	g30366  	GO:0003824(InterPro)|GO:0005975(InterPro)|GO:0030246(InterPro)
  8030 	g22565  	GO:0005515(InterPro)
  8035 	g36004  	GO:0006629(PANTHER)|GO:0016020(PANTHER)|GO:0016491(InterPro)|GO:0016717(PANTHER)
  8037 	g5217   	GO:0003824(InterPro)|GO:0046872(InterPro)
  8045 	g823    	GO:0005737(PANTHER)|GO:0006457(InterPro)|GO:0016272(PANTHER)|GO:0016272(InterPro)|GO:0051082(InterPro)|GO:1990113(PANTHER)|GO:1990114(PANTHER)|GO:1990115(PANTHER)
  8046 	g12266  	GO:0005739(PANTHER)|GO:0016554(InterPro)|GO:0080156(PANTHER)
  8047 	g16520  	GO:0005789(InterPro)|GO:0005789(PANTHER)|GO:0005886(PANTHER)|GO:0061817(PANTHER)|GO:0090158(PANTHER)
  8049 	g7994   	GO:0006952(InterPro)|GO:0016020(InterPro)
  8051 	g15790  	GO:0000325(PANTHER)|GO:0006511(PANTHER)|GO:0016567(PANTHER)|GO:0061630(PANTHER)
  8052 	g13370  	GO:0003676(InterPro)|GO:0006351(InterPro)|GO:0008270(InterPro)
  8059 	g4069   	GO:0000976(PANTHER)|GO:0045944(PANTHER)
  8061 	g3126   	GO:0005634(PANTHER)|GO:0005739(PANTHER)|GO:0007005(InterPro)|GO:0007005(PANTHER)
  8062 	g28893  	GO:0005506(InterPro)|GO:0016226(InterPro)|GO:0051536(InterPro)
  8064 	g15976  	GO:0003677(InterPro)|GO:0003918(InterPro)|GO:0005524(InterPro)|GO:0006265(InterPro)
  8086 	g30898  	GO:0004252(InterPro)|GO:0006508(InterPro)
  8092 	g1060   	GO:0003700(InterPro)|GO:0006355(InterPro)|GO:0043565(InterPro)
  8099 	g20575  	GO:0005524(InterPro)|GO:0016887(InterPro)
  8108 	g15474  	GO:0005524(InterPro)
  8113 	g13630  	GO:0043169(InterPro)
  8115 	g19908  	GO:0004601(InterPro)|GO:0006979(InterPro)|GO:0020037(InterPro)
  8135 	g33557  	GO:0008289(InterPro)
  8137 	g314    	GO:0004489(InterPro)|GO:0006555(InterPro)
  8141 	g26139  	GO:0000902(PANTHER)|GO:0016477(PANTHER)|GO:0030031(PANTHER)|GO:0030866(PANTHER)|GO:0031209(PANTHER)
  8142 	g30198  	GO:0005737(PANTHER)|GO:0016020(InterPro)|GO:0016020(PANTHER)|GO:0034975(PANTHER)
  8143 	g27999  	GO:0003676(InterPro)|GO:0005524(InterPro)
  8145 	g6477   	GO:0003924(InterPro)|GO:0007186(InterPro)|GO:0019001(InterPro)|GO:0031683(InterPro)
  8154 	g23183  	GO:0010256(PANTHER)
  8155 	g17326  	GO:0015095(InterPro)|GO:0015693(InterPro)|GO:0015693(PANTHER)|GO:0016020(PANTHER)|GO:0016020(InterPro)
  8157 	g27198  	GO:0003676(InterPro)
  8166 	g32709  	GO:0030247(InterPro)
  8167 	g9131   	GO:0003774(InterPro)|GO:0005524(InterPro)|GO:0016459(InterPro)
  8190 	g2393   	GO:0000220(InterPro)|GO:0046961(InterPro)
  8193 	g28451  	GO:0005525(InterPro)
  8197 	g3096   	GO:0030145(InterPro)
  8202 	g18801  	GO:0006801(InterPro)|GO:0046872(InterPro)
  8213 	g17898  	GO:0003676(InterPro)|GO:0008270(InterPro)
  8214 	g42     	-
  8215 	g18297  	GO:0003676(InterPro)|GO:0008270(InterPro)
  8221 	g17011  	GO:0005737(InterPro)|GO:0005829(PANTHER)|GO:0006364(InterPro)|GO:0008649(InterPro)|GO:0070043(PANTHER)
  8225 	g18892  	GO:0006952(InterPro)
  8229 	g36726  	GO:0003677(InterPro)
  8231 	g36434  	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
  8234 	g10225  	GO:0005886(PANTHER)|GO:0006751(PANTHER)|GO:0006751(InterPro)|GO:0036374(PANTHER)|GO:0036374(InterPro)
  8236 	g31177  	GO:0004650(InterPro)|GO:0005975(InterPro)
  8238 	g9865   	GO:0004842(InterPro)|GO:0016567(InterPro)
  8254 	g14064  	GO:0008643(PANTHER)|GO:0016020(PANTHER)|GO:0051119(InterPro)|GO:0051119(PANTHER)
  8257 	g8446   	GO:0005634(PANTHER)
  8258 	g30021  	GO:0071944(PANTHER)
  8259 	g21181  	GO:0003677(InterPro)
  8260 	g21149  	GO:0004722(PANTHER)|GO:0006470(PANTHER)
  8261 	g27780  	GO:0005886(PANTHER)
  8273 	g8240   	GO:0005515(InterPro)
  8286 	g30291  	GO:0004185(InterPro)|GO:0006508(InterPro)
  8291 	g18449  	GO:0016020(InterPro)|GO:0022857(InterPro)|GO:0055085(InterPro)
  8293 	g8453   	GO:0004842(InterPro)|GO:0016567(InterPro)
  8298 	g12751  	GO:0009535(PANTHER)|GO:0009658(PANTHER)|GO:0009706(PANTHER)|GO:0045037(PANTHER)
  8299 	g11998  	GO:0003700(InterPro)|GO:0006355(InterPro)
  8308 	g22241  	GO:0003690(InterPro)|GO:0006355(InterPro)
  8317 	g28746  	GO:0006508(InterPro)|GO:0006508(PANTHER)|GO:0008235(InterPro)
  8318 	g35139  	GO:0003677(InterPro)
  8332 	g24848  	GO:0004089(InterPro)|GO:0004089(PANTHER)|GO:0006730(PANTHER)|GO:0008270(InterPro)|GO:0016836(PANTHER)
  8334 	g32731  	GO:0003676(InterPro)
  8336 	g22305  	GO:0005385(InterPro)|GO:0016020(InterPro)|GO:0071577(InterPro)
  8339 	g13681  	GO:0004190(InterPro)|GO:0006508(InterPro)
  8340 	g25475  	GO:0005524(InterPro)|GO:0016887(InterPro)
  8351 	g35173  	GO:0005515(InterPro)
  8356 	g19802  	GO:0005515(InterPro)
  8359 	g4349   	GO:0070300(InterPro)
  8360 	g23975  	GO:0005515(InterPro)
  8367 	g12140  	GO:0005515(InterPro)
  8371 	g282    	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
  8374 	g14879  	GO:0000994(PANTHER)|GO:0005634(PANTHER)|GO:0016480(InterPro)|GO:0016480(PANTHER)
  8376 	g21626  	GO:0036094(InterPro)
  8377 	g23124  	GO:0010256(PANTHER)
  8378 	g26829  	GO:0003682(InterPro)
  8382 	g1953   	GO:0043622(PANTHER)|GO:0055028(PANTHER)
  8383 	g12468  	GO:0003824(InterPro)|GO:0016020(PANTHER)|GO:0047412(PANTHER)|GO:0070291(PANTHER)
  8384 	g30550  	GO:0004497(InterPro)|GO:0005506(InterPro)|GO:0016705(InterPro)|GO:0020037(InterPro)
  8390 	g17006  	GO:0043531(InterPro)
  8391 	g13144  	GO:0046872(InterPro)
  8395 	g17748  	GO:0004029(PANTHER)|GO:0005737(PANTHER)|GO:0006081(InterPro)|GO:0006081(PANTHER)
  8401 	g25544  	GO:0005515(InterPro)
  8404 	g34557  	GO:0005634(PANTHER)|GO:0005737(PANTHER)|GO:0008757(PANTHER)
  8412 	g108    	GO:0009638(InterPro)
  8413 	g30785  	GO:0000977(InterPro)|GO:0045944(InterPro)
  8423 	g25313  	GO:0005794(PANTHER)|GO:0006891(InterPro)|GO:0017119(InterPro)
  8424 	g13460  	GO:0000796(PANTHER)|GO:0003682(PANTHER)|GO:0005634(PANTHER)|GO:0010032(PANTHER)|GO:0030261(InterPro)|GO:0051306(PANTHER)
  8425 	g6636   	GO:0045892(InterPro)
  8426 	g5442   	GO:0006886(InterPro)|GO:0031267(InterPro)
  8430 	g11886  	GO:0043531(InterPro)
  8431 	g22711  	GO:0008643(PANTHER)|GO:0016020(PANTHER)|GO:0051119(InterPro)|GO:0051119(PANTHER)
  8434 	g26775  	GO:0022857(InterPro)
  8436 	g16877  	GO:0003924(InterPro)
  8445 	g30984  	GO:0005515(InterPro)
  8454 	g36805  	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
  8468 	g8949   	GO:0008270(InterPro)
